email, senha
0.2239505407095383@mail.com,user123       
0.9384497361684824@mail.com,user123       
0.2312261047971979@mail.com,user123       
0.1437667595471594@mail.com,user123       
0.20929825225744686@mail.com,user123      
0.9108867333245654@mail.com,user123       
0.7898776373663806@mail.com,user123       
0.06201051554507432@mail.com,user123      
0.5355154365516757@mail.com,user123       
0.5356338406598972@mail.com,user123       
0.5824822856032186@mail.com,user123       
0.5144766779954205@mail.com,user123       
0.19878628177869156@mail.com,user123      
0.26759870905206673@mail.com,user123      
0.8733960980797028@mail.com,user123       
0.21357394818712275@mail.com,user123      
